place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7778.2699999999995,11931.49,9759.555,6336.719999999999,10868.439999999999,547.4399999999999,8198.85,11540.25,9098.660999999998,6547.33,4818.15,5293.030000000001,5883.95,3508.47,7804.95,15559.35,6500.5,6830.1,2401.7200000000003,5060.960000000001,8317.782,5290.33,13589.5,3170.05,12429.1,5633.825999999999,12263.04,9729.439999999999,2220.16,6825.45,7511.8,12417.07,9797.35,12458.810000000001,7555.93,6763.7699999999995,5783.11,7366.56,5320.415,7572.6,9992.369999999999,5098.219999999999,10076.933,5979.639999999999,2858.6099999999997,6430.280000000001,10411.630000000001,10684.01,2491.33
AR,7778.2699999999995,0.0,11779.75,17003.2,2341.35,8975.9,7896.15,1138.0,19266.2,4676.6,11911.2,9762.35,11804.71,10041.2,10702.740000000002,12639.84,10548.5,11074.45,11133.5,7931.0,11339.369999999999,15920.060000000001,11148.0,18367.5,9826.6,19463.68,9396.15,7379.7,15892.55,8155.08,11446.11,11895.630000000001,10325.85,3139.6,19985.19,15312.99,12260.83,9583.0,13476.35,13208.679999999998,12238.0,15878.1,6953.2,17213.75,11939.51,9833.05,12712.2,8386.1,18773.829999999998,8119.3
AU,11931.49,11779.75,0.0,8961.05,14172.6,16242.13,12929.929999999998,11348.0,8970.4,14313.48,16096.15,17089.47,14407.3,17647.94,11663.39,15203.570000000002,3314.88,16960.0,16926.0,15321.25,15310.939999999999,9879.45,16314.59,7971.7,11764.119999999999,8340.57,17847.41,12858.24,6332.2,14552.990000000002,16621.579999999998,15955.460000000001,2326.35,12743.15,6279.85,10285.97,15604.710000000001,17749.25,14470.25,12383.11,15599.7,5958.05,17131.89,7398.37,14487.61,11321.23,14914.6,15987.580000000002,7739.95,10274.05
BD,9759.555,17003.2,8961.05,0.0,16722.59,12420.34,9016.617000000002,17127.45,3027.16,16646.52,7102.639999999999,8370.016000000001,5689.66,8254.055,5834.21,6620.1,11265.91,7905.5,8000.81,10250.48,6241.710000000001,1423.75,7276.15,4743.1,6875.44,3738.7,9422.71,15757.960000000001,2630.0,8466.056,7696.147,7328.8099999999995,11665.4,17736.55,3140.9,2025.9299999999998,6807.44,8437.189999999999,5370.95,4600.61,6929.0199999999995,2896.5,12366.95,1540.4950000000001,5343.993,6915.255,6119.469999999999,12626.369999999999,1667.9299999999998,8506.09
BR,6336.719999999999,2341.35,14172.6,16722.59,0.0,6835.1,6605.275,3013.9,16880.85,3660.2,9516.471,7602.65,9473.07,7274.87,9306.07,10468.85,14041.05,8731.0,8775.6,5817.030000000001,9523.97,14219.460000000001,8849.65,17372.55,8423.61,18188.5,6958.745000000001,6845.55,16283.640000000003,6245.429999999999,9266.369999999999,9592.380000000001,11917.05,3170.6,18758.05,13839.84,9875.070000000002,7289.8,11179.710000000001,10576.31,9768.25,16064.585000000001,5060.08,16757.05,10087.73,8168.786999999999,10167.23,6755.3,17528.239999999998,7430.692
CA,10868.439999999999,8975.9,16242.13,12420.34,6835.1,0.0,10270.17,8587.6,10493.9,4530.0,6137.706999999999,6163.844999999999,8609.1,5672.58,11458.439999999999,6044.8099999999995,12125.7,5650.1,5362.469999999999,8396.77,7622.35,11153.259999999998,6675.42,10310.1,11751.43,10457.34,5712.945000000001,3616.6,14795.320000000002,8716.55,5650.5199999999995,5530.289999999999,14320.39,6200.0,12734.279,10734.249,6548.6,5304.45,7156.736999999999,10022.672999999999,5843.1900000000005,14879.73,6218.4,13662.0,7741.75,12238.58,7214.92,732.3,12452.2,12947.751999999999
CD,547.4399999999999,7896.15,12929.929999999998,9016.617000000002,6605.275,10270.17,0.0,9362.789999999999,11350.403000000002,9919.042000000001,5983.629999999999,4803.630999999999,4188.79,5684.51,3052.75,6998.920000000001,16310.11,6008.07,6276.412,1908.5,4881.79,8228.869999999999,5417.0779999999995,12978.68,2411.79,12085.042,4815.96,12392.17,9779.829999999998,1665.03,6393.991,6926.2570000000005,13889.789999999999,10240.35,11753.75,7174.973,6063.2,5743.201999999999,6973.632,4749.971,6919.147,9769.842999999999,4283.991,9716.363000000001,4943.05,2085.3849999999998,5942.960000000001,10336.59,10337.96,2777.7
CL,8198.85,1138.0,11348.0,17127.45,3013.9,8587.6,9362.789999999999,0.0,19000.0,4250.35,12499.475,10481.28,13183.2,10712.2,11783.34,13533.820000000002,10667.59,11642.0,11642.4,8546.6,12198.85,16474.170000000002,11884.26,17240.0,11144.5,18370.5,9840.9,6556.05,16211.0,9120.6,11904.93,12493.460000000001,9353.439999999999,2464.5,17252.7,16375.15,12667.45,10076.289999999999,14129.05,13959.95,12308.32,16318.39,8136.2,16333.1,13837.060000000001,10543.189999999999,13047.05,8084.2,18268.829999999998,9107.43
CN,11540.25,19266.2,8970.4,3027.16,16880.85,10493.9,11350.403000000002,19000.0,0.0,15223.0,7353.3,9133.630000000001,7546.409999999999,9215.0,8316.5,6301.5,9102.05,8214.0,8140.5,11569.060000000001,7614.039999999999,3791.05,8130.0,2100.0,9583.5,952.25,9652.33,12436.1,4347.6,10661.0,7824.35,6808.15,10412.9,16659.2,2855.0,3790.15,6949.0,8678.3,5790.8,6198.85,6709.3,4479.0,11853.0,3294.8,7488.5,9806.170999999998,6450.09,11158.0,2330.5,11707.73
CO,9098.660999999998,4676.6,14313.48,16646.52,3660.2,4530.0,9919.042000000001,4250.35,15223.0,0.0,9403.78,8479.34,11200.9,8021.2,11726.1,9879.97,13403.64,8625.4,8493.64,8186.889999999999,10179.52,15043.59,9345.65,14308.4,11655.82,14854.5,7605.06,3172.2,19631.440000000002,8520.64,8824.88,9041.42,12202.06,1879.8,18190.94,14991.439999999999,9780.92,7487.0,10905.05,12472.939999999999,9523.9,19330.53,6457.0,17281.6,10777.81,11245.05,10317.17,3663.1,17701.2,10789.929999999998
