place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7780.25,11908.0,9848.825,6262.5,10913.85,550.75,8175.0,11575.25,9093.8,6549.0,4819.5,5295.0,5775.0,3510.55,7797.25,15385.45,6500.5,6830.0,2403.1,4984.3,8285.5,5420.4,13581.75,3170.25,12423.5,5602.65,12210.4,9739.5,2178.6,6829.0,7540.65,12410.5,9785.25,12460.4,7543.0,6744.75,5781.5,7467.5,5292.825,7470.5,10007.95,5150.0,10105.35,5957.95,2842.45,6416.0,10475.5,10685.5,2491.0
AR,7780.25,0.0,11800.0,17015.0,2340.0,8977.5,7887.5,1138.0,19270.0,4685.0,11906.25,9755.0,11800.35,10045.0,10641.0,12646.35,10345.25,11075.0,11132.5,7817.5,11376.0,15907.8,11150.0,18375.0,9637.5,19430.0,9419.25,7380.0,15890.75,8143.4,11445.5,11905.15,10326.75,3140.0,19990.75,15452.75,12291.0,9582.5,13476.5,13408.75,12223.5,15882.75,6955.0,17251.25,11886.0,9833.0,12818.25,8387.5,19211.75,8115.0
AU,11908.0,11800.0,0.0,9051.0,14125.0,16252.5,12828.05,11350.0,8970.0,14335.0,16094.5,17061.5,14408.75,17660.0,11654.6,15205.0,3296.6,16960.0,16926.5,15373.75,15312.349999999999,9813.0,16315.0,7971.0,11690.25,8340.0,17885.4,12681.85,6310.1,14469.0,16648.0,15940.25,2326.25,12745.0,6299.0,10229.5,15603.5,18030.0,14470.0,12423.15,15597.0,5910.0,17117.5,7419.25,14441.5,11290.4,14915.400000000001,15935.0,7740.0,10260.0
BD,9848.825,17015.0,9051.0,0.0,16819.0,12466.0,9025.5,17101.0,3026.5,16718.9,7094.0,8403.28,5696.0,8256.0,5913.5,6620.25,11302.75,7905.0,8003.0,10221.9,6252.5,1424.0,7275.55,4726.0,6878.0,3723.0,9439.0,15755.45,2630.0,8426.1,7697.0,7342.35,11695.5,17815.25,3013.0,2023.1,6815.835,8342.0,5550.5,4585.0,6917.95,2896.7,12360.25,1540.5,5359.45,6922.0,6109.15,12629.5,1586.75,8502.5
BR,6262.5,2340.0,14125.0,16819.0,0.0,6830.0,6566.1,3014.0,16882.75,3660.0,9508.1,7592.5,9476.5,7273.0,9253.0,10477.5,14052.75,8731.0,8778.0,5690.15,9535.65,14148.25,8725.25,17370.0,8133.0,18165.0,6940.0,6845.0,16285.35,6184.9,9243.0,9648.0,11906.6,3171.0,18495.0,13887.75,9909.75,7290.0,11180.0,10502.85,9783.55,16008.925,5026.0,16750.0,10130.1,8152.95,10163.5,6746.0,17475.4,7438.65
CA,10913.85,8977.5,16252.5,12466.0,6830.0,0.0,10362.0,8593.0,10488.0,4535.0,6136.955,6168.0,8582.5,5674.0,11486.75,6047.65,12157.85,5650.0,5370.0,8434.25,7625.0,11150.5,6693.7,10313.5,11786.5,10465.35,5713.5,3618.5,14795.5,8730.05,5650.25,5526.0,14321.5,6205.0,12669.5,10672.6,6537.5,5304.7,7138.385,10003.0,5855.05,14882.8,6243.0,13642.5,7735.25,12185.4,7225.25,732.0,12410.0,12985.25
CD,550.75,7887.5,12828.05,9025.5,6566.1,10362.0,0.0,9585.5,11343.85,9908.0,6034.5,4808.75,4189.0,5737.0,3009.8,6919.0,16251.75,6009.25,6376.5,1924.0,4891.15,8201.5,5415.8,13027.15,2412.95,12190.6,4827.25,12330.35,9692.8,1664.85,6392.965,6933.9349999999995,13873.1,10277.5,11729.5,7179.315,6079.5,5782.5,6977.35,4838.5,6918.525,9713.400000000001,4202.389999999999,9739.515,4910.85,2077.325,5916.2,10305.55,10300.45,2775.5
CL,8175.0,1138.0,11350.0,17101.0,3014.0,8593.0,9585.5,0.0,19000.0,4250.0,12500.0,10540.5,13144.0,10714.0,11610.75,13287.25,10850.0,11640.0,11640.0,8510.0,12170.25,16342.5,11885.0,17240.0,11061.5,18350.0,9869.0,6565.0,16231.75,9096.0,11896.75,12533.0,9347.75,2465.0,17250.0,16360.0,12593.0,10122.95,14113.75,13958.85,12318.25,16315.5,8127.5,16325.0,13945.5,10455.5,13054.5,8074.0,18500.0,9152.75
CN,11575.25,19270.0,8970.0,3026.5,16882.75,10488.0,11343.85,19000.0,0.0,15235.0,7353.0,9130.15,7542.2,9215.0,8315.0,6300.0,9175.0,8215.0,8140.5,11548.25,7615.0,3791.0,8130.0,2100.0,9585.0,952.5,9602.9,12435.0,4350.0,10637.25,7824.0,6700.25,10417.5,16624.5,2850.0,3790.0,6950.0,8684.5,5790.0,6201.6,6710.5,4480.0,11819.25,3295.0,7495.25,9874.35,6450.0,11158.0,2330.0,11715.5
CO,9093.8,4685.0,14335.0,16718.9,3660.0,4535.0,9908.0,4250.0,15235.0,0.0,9410.25,8493.75,11246.5,8020.0,11693.0,9821.75,13361.85,8625.0,8500.0,8175.35,10172.15,14825.0,9350.0,14312.0,11654.25,14855.0,7601.0,3160.0,19755.3,8412.5,8825.0,9079.75,12204.9,1880.0,18234.2,14935.5,9760.0,7493.75,10904.25,12465.0,9519.0,19109.4,6480.0,17199.5,10765.5,11255.2,10314.5,3660.0,17608.0,10850.5
DE,6549.0,11906.25,16094.5,7094.0,9508.1,6136.955,6034.5,12500.0,7353.0,9410.25,0.0,1847.6,2891.5,1870.25,5350.5,1104.5,16193.099999999999,878.0,932.0,5224.25,1801.3,5780.5,1183.1,8918.0,6330.5,8129.0,2611.5299999999997,9724.75,9598.5,4870.35,577.5,839.0,18145.0,11107.75,9308.5,5286.45,517.5,2310.0,1609.5,4192.85,810.0,9910.435000000001,5027.0,8604.2,2031.75,6891.0,1204.4,6716.5,8292.5,8735.0
DZ,4819.5,9755.0,17061.5,8403.28,7592.5,6168.0,4808.75,10540.5,9130.15,8493.75,1847.6,0.0,2715.0,714.9,4816.0,3109.65,17552.85,1348.9499999999998,1660.5,2905.35,1693.0,6760.5,962.85,10415.5,5465.0,9955.25,915.0,9502.0,10520.7,2715.5,1733.0,2658.15,19534.25,9453.05,11452.75,6190.4,2257.45,1117.95,3480.4,4129.5,2990.35,10484.0,3166.35,9559.85,2601.05,5442.85,2792.0,6457.6,9682.05,7464.5
EG,5295.0,11800.35,14408.75,5696.0,9476.5,8582.5,4189.0,13144.0,7542.2,11246.5,2891.5,2715.0,0.0,3271.315,2470.25,3398.3,16529.5,3210.0,3510.0,4250.0,1110.0,4400.05,2130.0,9560.0,3515.0,8345.0,3435.5,12460.0,7602.35,3427.75,3288.5,3673.0,16260.0,12345.0,8952.7,3452.25,2620.25,3795.5,2901.5,1611.5,3430.0,8288.0,5227.5,7270.0,1104.5,3677.75,2272.75,9430.1,7483.0,6268.5
ES,5775.0,10045.0,17660.0,8256.0,7273.0,5674.0,5737.0,10714.0,9215.0,8020.0,1870.25,714.9,3271.315,0.0,5492.1,2948.37,17290.25,1053.0,1263.0,3895.5,2371.5,7265.0,1362.25,10765.0,5795.0,9972.0,766.55,9064.5,11064.5,3716.5,1481.25,2594.65,19855.0,9508.1,11640.45,6206.9,2290.3,502.5,3440.0,4794.0,2590.35,11379.75,3150.75,10191.7,3137.25,6079.025,2865.0,6111.5,9947.8,7956.05
ET,3510.55,10641.0,11654.6,5913.5,9253.0,11486.75,3009.8,11610.75,8315.0,11693.0,5350.5,4816.0,2470.25,5492.1,0.0,5519.25,15435.5,5593.0,5899.25,4380.0,3019.0,4560.0,4481.5,9715.0,1162.0,9171.0,5537.5,14242.75,6939.65,3465.5,5477.5,5839.5,14165.25,12865.25,8667.0,4433.0,5193.95,5683.0,5140.0,1976.15,5685.85,7360.0,6170.0,6814.85,3428.1,1710.4,4803.25,11562.5,7387.0,3995.25
FI,7797.25,12646.35,15205.0,6620.25,10477.5,6047.65,6919.0,13287.25,6300.0,9821.75,1104.5,3109.65,3398.3,2948.37,5519.25,0.0,15245.25,1910.0,1821.05,6253.95,2628.0,5214.1,2202.0,7822.5,7102.5,7045.1,3910.0,9491.95,8488.5,5965.35,1502.4,785.0,16780.25,11651.5,8285.5,4847.5,940.0,3365.1,895.0,4300.325,396.0,9260.885,6085.25,7899.9,2418.5,7381.45,1156.95,6950.3,7295.0,9689.75
FJ,15385.45,10345.25,3296.6,11302.75,14052.75,12157.85,16251.75,10850.0,9175.0,13361.85,16193.099999999999,17552.85,16529.5,17290.25,15435.5,15245.25,0.0,16533.0,16280.0,19245.75,16486.0,11740.25,16885.0,7305.0,16445.0,7375.0,17262.5,10220.0,8440.0,19030.0,16232.5,15620.0,2617.5,10991.0,7122.65,12748.15,15834.0,17352.5,14425.2,14476.65,15497.8,8269.25,18880.25,9106.4,16194.75,15539.5,15742.65,12480.25,8185.45,13555.25
FR,6500.5,11075.0,16960.0,7905.0,8731.0,5650.0,6009.25,11640.0,8215.0,8625.0,878.0,1348.9499999999998,3210.0,1053.0,5593.0,1910.0,16533.0,0.0,343.0,4823.75,2097.75,6583.5,1107.0,9714.0,6482.0,8965.0,1814.0,9193.25,10410.75,4463.5,431.0,1343.3,18985.0,10260.0,10740.0,5904.885,1367.0,1453.5,2485.0,4674.5,1544.4,10738.3,4200.2,9443.0,2598.5,6792.5,2024.18,6164.5,9190.0,8690.0
GB,6830.0,11132.5,16926.5,8003.0,8778.0,5370.0,6376.5,11640.0,8140.5,8500.0,932.0,1660.5,3510.0,1263.0,5899.25,1821.05,16280.0,343.0,0.0,5100.0,2391.0,6710.0,1435.0,9560.0,6819.0,8858.0,2078.75,8929.0,10594.25,4891.5,357.0,1153.0,18816.0,10170.0,10740.0,6050.5,1450.35,1585.5,2501.1,4930.0,1432.375,10850.0,4377.5,9537.0,2821.75,7455.35,2134.0,5900.0,9230.575,9029.5
GH,2403.1,7817.5,15373.75,10221.9,5690.15,8434.25,1924.0,8510.0,11548.25,8175.35,5224.25,2905.35,4250.0,3895.5,4380.0,6253.95,19245.75,4823.75,5100.0,0.0,3909.5,8392.75,4085.25,13565.0,4215.0,12400.25,3179.0,9986.0,10825.35,915.1,5202.6,5560.45,16239.45,8281.7,13189.1,7310.5,5287.95,3810.0,6041.5,5195.6,6120.0,11341.4,2100.25,10982.8,4854.5,4675.4,5487.0,8284.75,11149.05,4686.0
