place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7778.6125,11931.0125,9784.44375,6300.275,10868.925,550.3625,8181.3125,11550.3125,9090.07875,6546.6125,4819.5625,5293.875,5825.5625,3509.425,7802.8,15537.4375,6500.4375,6830.0625,2402.275,5049.225,8298.15,5325.6,13588.75,3171.1875,12425.875,5623.4075,12250.462500000001,9730.425,2217.95,6825.5625,7524.625,12422.7125,9792.1875,12458.7,7560.4125,6760.5875,5783.2625,7390.387500000001,5312.43125,7555.625,9998.75,5119.5875,10096.759999999998,5977.9375,2856.1375,6431.012500000001,10429.7875,10673.375,2491.1
AR,7778.6125,0.0,11797.125,17008.125,2340.625,8978.0,7890.5,1138.0,19267.5,4677.625,11910.0,9760.9375,11804.0125,10042.125,10660.05,12643.675,10462.0625,11075.0,11133.125,7911.5,11347.0875,15920.075,11148.75,18375.0,9790.125,19451.3125,9402.6875,7379.0,15890.5,8156.9125,11445.8875,11904.475,10326.5625,3139.75,19990.7,15314.7375,12272.95,9582.5,13476.375,13298.8375,12237.125,15879.4375,6954.375,17227.0625,11932.0125,9813.7375,12818.25,8386.375,18812.225,8118.6875
AU,11931.0125,11797.125,0.0,8997.1875,14159.4375,16244.5,12923.875,11348.75,8970.375,14324.325,16094.375,17075.775,14408.4375,17655.5,11636.175,15203.125,3310.35,16960.0,16925.75,15355.25,15311.05,9866.9375,16314.8625,7970.875,11751.9625,8340.0,17852.9125,12722.15,6311.9375,14537.6,16632.6,15939.875,2326.3125,12745.0625,6285.049999999999,10274.8375,15604.575,17762.8125,14470.0625,12381.325,15598.125,5940.0625,17092.6125,7411.7125,14478.95,11330.1625,14912.25,15976.15,7739.9375,10272.0625
BD,9784.44375,17008.125,8997.1875,0.0,16758.1125,12447.1625,9030.62125,17113.0625,3026.825,16663.15,7095.425,8378.482500000002,5686.625,8253.95625,5855.025,6619.4375,11257.2625,7905.125,8001.625,10235.6,6249.825,1423.8125,7276.2,4726.625,6880.7375,3736.75,9422.1375,15772.575,2630.0,8447.82375,7698.05875,7332.1875,11674.5625,17783.1875,3118.4375,2025.4125,6813.549999999999,8417.9875,5364.3125,4600.0125,6924.4,2896.5625,12368.25,1540.475,5350.25375,6922.70625,6116.275,12625.25,1654.5375,8511.2375
BR,6300.275,2340.625,14159.4375,16758.1125,0.0,6829.4375,6613.65625,3014.25,16877.0,3660.0,9515.026249999999,7613.3125,9477.4,7274.4625,9291.9625,10480.125,14032.5625,8730.875,8775.75,5806.2875,9537.3375,14202.6375,8827.6875,17371.4375,8385.2,18177.5,6944.918750000001,6845.0625,16273.2375,6180.5375,9265.6875,9603.85,11929.6875,3170.625,18731.3125,13858.4875,9893.9625,7290.125,11179.825,10570.275000000001,9763.225,16050.356249999999,5051.9125,16760.0625,10101.537499999999,8167.98375,10161.4125,6748.75,17524.612500000003,7434.4275
CA,10868.925,8978.0,16244.5,12447.1625,6829.4375,0.0,10306.362500000001,8589.5,10493.25,4531.625,6137.411249999999,6166.33375,8608.875,5673.225,11466.7375,6041.2625,12147.1125,5650.375,5361.8375,8399.0,7624.625,11153.2375,6679.9,10310.125,11765.4375,10464.175,5712.8375,3617.5,14796.55,8711.9,5651.0875,5530.575,14320.9875,6201.875,12714.975,10729.0375,6544.0625,5306.125,7155.546249999999,10020.24125,5844.5125,14883.25,6212.6875,13654.375,7741.8125,12225.35,7213.6875,732.0,12437.75,12950.837500000001
CD,550.3625,7890.5,12923.875,9030.62125,6613.65625,10306.362500000001,0.0,9435.2375,11357.04125,9912.465,5988.125,4804.8375,4187.425,5696.5625,3014.9125,6979.875,16311.275,6006.875,6376.202499999999,1912.275,4889.05,8223.4875,5416.25,12989.1,2412.175,12118.45,4817.325,12376.4,9743.075,1661.0375,6393.73875,6925.82125,13891.487500000001,10251.5625,11752.0625,7174.8412499999995,6077.0,5768.8775,6972.915,4768.2625,6919.53125,9758.3475,4202.98875,9711.32875,4925.4875,2075.21875,5925.575,10332.8625,10324.2,2777.375
CL,8181.3125,1138.0,11348.75,17113.0625,3014.25,8589.5,9435.2375,0.0,19000.0,4250.1875,12499.53125,10487.975,13146.0625,10713.5,11735.3625,13495.5625,10721.925,11641.25,11641.875,8523.2125,12195.0,16422.0625,11884.25,17240.0,11115.5625,18365.625,9851.5625,6558.75,16219.375,9123.2125,11898.85,12511.2,9347.875,2465.0,17257.125,16378.9375,12674.375,10072.2375,14125.35,13986.1875,12303.9,16314.425,8109.625,16330.0625,13855.7375,10516.9875,13049.3125,8082.75,18349.7875,9161.1625
CN,11550.3125,19267.5,8970.375,3026.825,16877.0,10493.25,11357.04125,19000.0,0.0,15245.625,7353.125,9131.6,7544.887500000001,9215.0,8316.25,6300.625,9096.875,8214.375,8140.5,11566.9125,7614.125,3791.0,8130.0,2100.0,9583.75,952.3125,9591.6625,12436.25,4347.875,10649.375,7824.3125,6800.8125,10413.125,16624.5,2853.125,3790.5625,6950.0,8684.5,5790.625,6199.0625,6709.75,4479.375,11853.75,3294.75,7491.25,9834.838749999999,6450.05,11158.0,2330.25,11711.5375
CO,9090.07875,4677.625,14324.325,16663.15,3660.0,4531.625,9912.465,4250.1875,15245.625,0.0,9407.5375,8485.2125,11208.4375,8020.9375,11718.8125,9874.3125,13393.8625,8625.0,8495.425,8177.9875,10180.400000000001,14970.0625,9348.0625,14309.0,11667.0625,14855.0,7610.075,3165.25,19678.175,8513.175000000001,8825.025,9062.2125,12178.474999999999,1880.0,18230.925,14980.4875,9777.7625,7489.4625,10904.3125,12463.55,9518.5,19318.975,6455.0,17260.6875,10774.0125,11243.037499999999,10317.125,3653.5,17673.9375,10786.6375
DE,6546.6125,11910.0,16094.375,7095.425,9515.026249999999,6137.411249999999,5988.125,12499.53125,7353.125,9407.5375,0.0,1864.3625000000002,2891.75625,1870.1975,5350.3875,1104.2125,16205.724999999999,878.1875,932.0,5240.6625,1801.3,5780.0625,1182.95,8918.0,6337.0,8128.125,2597.295,9724.775,9598.025,4873.112499999999,577.425,839.125,18143.0,11092.9125,9451.94625,5287.1,517.5699999999999,2310.375,1609.355,4204.43125,810.0375,9910.587500000001,5027.5,8603.55,2032.0875,6834.1,1204.2662500000001,6716.18125,8295.525,8733.075
DZ,4819.5625,9760.9375,17075.775,8378.482500000002,7613.3125,6166.33375,4804.8375,10487.975,9131.6,8485.2125,1864.3625000000002,0.0,2714.8625,714.25,4794.9125,3110.6125,17768.0,1349.1750000000002,1660.3375,2899.65,1710.4375,6771.75,962.8375000000001,10418.0,5442.7875,9952.932499999999,916.625,9496.8875,10516.85,2742.475,1733.09375,2696.8,19498.2375,9473.71875,11428.4375,6233.00375,2242.70625,1112.7375000000002,3428.725,4118.475,2984.825,10500.35,3167.2125,9584.88125,2602.275,5433.05,2772.75,6452.6125,9719.5,7464.9
EG,5293.875,11804.0125,14408.4375,5686.625,9477.4,8608.875,4187.425,13146.0625,7544.887500000001,11208.4375,2891.75625,2714.8625,0.0,3271.26625,2482.4375,3403.9624999999996,16530.1,3210.0,3510.0,4253.75,1110.0,4400.1525,2129.75,9560.0,3513.8875,8338.875,3465.05,12419.25,7639.8625,3425.625,3286.5,3669.9375,16274.875,12353.125,9063.05,3466.45,2620.5375,3796.70125,2901.375,1612.5125,3430.0,8286.0,5238.125,7270.7787499999995,1104.625,3676.3125,2272.9375,9425.54625,7562.3125,6268.375
ES,5825.5625,10042.125,17655.5,8253.95625,7274.4625,5673.225,5696.5625,10713.5,9215.0,8020.9375,1870.1975,714.25,3271.26625,0.0,5501.837500000001,2948.2225,17303.3125,1052.875,1263.3125,3897.0,2371.5375,7206.6875,1362.0125,10765.0,5796.25,9975.16,713.84875,9064.0,11062.938750000001,3726.8999999999996,1476.2525,2594.4375,19855.0,9508.0625,11640.35,6188.90625,2290.25125,502.5825,3440.0,4774.5337500000005,2590.44,11375.7625,3150.7625,10191.725,3139.4375,6071.34375,2864.6425,6110.2875,9738.45,7971.5625
ET,3509.425,10660.05,11636.175,5855.025,9291.9625,11466.7375,3014.9125,11735.3625,8316.25,11718.8125,5350.3875,4794.9125,2482.4375,5501.837500000001,0.0,5513.025,15424.837500000001,5590.6375,5898.8125,4380.0,3080.125,4559.0625,4482.25,9705.3125,1162.0625,9171.0,5507.85,14228.375,6957.5625,3467.1875,5495.4625,5849.775,14197.15,12872.9,8649.3125,4418.674999999999,5219.5875,5696.225,5139.7125,1975.1,5663.7875,7358.75,6171.875,6814.8,3427.175,1699.0625,4793.55,11559.6875,7389.0875,4040.9375
FI,7802.8,12643.675,15203.125,6619.4375,10480.125,6041.2625,6979.875,13495.5625,6300.625,9874.3125,1104.2125,3110.6125,3403.9624999999996,2948.2225,5513.025,0.0,15247.05,1910.0,1821.03375,6232.8,2628.0625,5217.5625,2201.94125,7823.25,7151.75,7045.2125,3896.4375,9492.903750000001,8512.475,5963.9875,1502.3625,808.375,16746.1875,11699.125,8291.1875,4855.8875,940.4375,3365.05,894.7375,4298.90625,396.0,9260.5,6062.725,7899.0875,2442.875,7386.6625,1153.6374999999998,6947.525,7301.6875,9690.0625
FJ,15537.4375,10462.0625,3310.35,11257.2625,14032.5625,12147.1125,16311.275,10721.925,9096.875,13393.8625,16205.724999999999,17768.0,16530.1,17303.3125,15424.837500000001,15247.05,0.0,16564.4375,16276.4375,19233.7875,16442.5875,11746.15,16816.3625,7300.1625,16244.6125,7398.675,17308.9375,10168.5,8435.525,19001.125,16224.3125,15617.2625,2612.0,11023.375,7151.3875,12775.5,15904.125,17350.125,14399.6875,14496.45,15447.125,8271.1875,18874.0,9104.95,16201.1625,15488.4875,15655.8375,12396.025,8194.7625,13595.9
FR,6500.4375,11075.0,16960.0,7905.125,8730.875,5650.375,6006.875,11641.25,8214.375,8625.0,878.1875,1349.1750000000002,3210.0,1052.875,5590.6375,1910.0,16564.4375,0.0,343.125,4823.4875,2097.675,6583.0,1106.6912499999999,9713.01875,6482.5625,8965.125,1814.3125,9194.6875,10411.125,4464.0625,430.76625,1343.2875,18985.0,10259.0,10740.0,5905.38375,1367.03,1453.5,2485.0,4673.375,1544.3000000000002,10737.8875,4200.200000000001,9442.625,2598.25,6803.9625,2024.2150000000001,6166.0,9190.0,8692.9375
GB,6830.0625,11133.125,16925.75,8001.625,8775.75,5361.8375,6376.202499999999,11641.875,8140.5,8495.425,932.0,1660.3375,3510.0,1263.3125,5898.8125,1821.03375,16276.4375,343.125,0.0,5099.87125,2391.0,6710.0,1434.75,9560.0,6819.875,8858.0,2062.2,8928.85625,10594.05,4830.5,357.25,1153.03125,18816.5,10163.25,10740.1375,6050.4974999999995,1450.275,1585.8875,2500.9125,4930.75,1432.51875,10850.0,4374.875,9536.75,2821.6875,7439.15,2134.0,5900.2625,9231.6,9028.75
GH,2402.275,7911.5,15355.25,10235.6,5806.2875,8399.0,1912.275,8523.2125,11566.9125,8177.9875,5240.6625,2899.65,4253.75,3897.0,4380.0,6232.8,19233.7875,4823.4875,5099.87125,0.0,3896.025,8387.55,4090.9125,13566.1875,4213.3375,12399.6375,3176.725,10044.975,10853.7,915.1875,5207.012500000001,5636.3,16227.675,8255.6,13173.375,7342.7,5288.1,3807.1875,6035.512500000001,5234.025000000001,6129.975,11310.6,2105.25,10997.84125,4824.35,4668.924999999999,5505.125,8281.775,11123.75,4687.8125
GR,5049.225,11347.0875,15311.05,6249.825,9537.3375,7624.625,4889.05,12195.0,7614.125,10180.400000000001,1801.3,1710.4375,1110.0,2371.5375,3080.125,2628.0625,16442.5875,2097.675,2391.0,3896.025,0.0,4815.75,1051.425,9499.9375,4091.0625,8472.375,2783.2125,10788.875,8436.54375,3405.6125,2182.8125,2614.5625,17694.75,11231.075,9610.56625,4363.175,1598.5375,2854.4375,2230.2,2391.275,2440.7250000000004,8657.3125,4737.3125,7922.525,814.2875,4817.09375,1483.475,7919.525,7646.4375,7286.4
IN,8298.15,15920.075,9866.9375,1423.8125,14202.6375,11153.2375,8223.4875,16422.0625,3791.0,14970.0625,5780.0625,6771.75,4400.1525,7206.6875,4559.0625,5217.5625,11746.15,6583.0,6710.0,8387.55,4815.75,0.0,5920.2,5832.75,5408.9125,4675.5,7696.0875,15532.5125,3875.3125,7335.875,6363.95,5970.0625,12142.525,16889.5625,4765.0,689.125,5269.8125,7872.6125,4340.0,3040.8125,5580.49125,4150.0,9716.5625,2918.5625,4247.443749999999,5771.21875,4570.375,12021.5,3003.5,8034.1875
IT,5325.6,11148.75,16314.8625,7276.2,8827.6875,6679.9,5416.25,11884.25,8130.0,9348.0625,1182.95,962.8375000000001,2129.75,1362.0125,4482.25,2201.94125,16816.3625,1106.6912499999999,1434.75,4090.9125,1051.425,5920.2,0.0,9856.0,5405.2875,8966.0,1749.1875,10245.1875,9618.625,3737.3625,1297.46375,2002.075,18462.5,10856.25,10402.25,5335.875,1316.3375,1862.125,2375.0,3671.5875,1976.6125,9029.80875,4181.65,8817.0,1731.7,5496.875,1675.4125,7215.1625,8728.9,7741.0
JP,13588.75,18375.0,7970.875,4726.625,17371.4375,10310.125,12989.1,17240.0,2100.0,14309.0,8918.0,10418.0,9560.0,10765.0,9705.3125,7823.25,7300.1625,9713.01875,9560.0,13566.1875,9499.9375,5832.75,9856.0,0.0,11271.75875,1152.0,11573.75,11311.0,5334.625,13364.6875,9293.875,8384.75,9222.25,15481.875,2997.0,5834.6125,8575.0,11149.075,7480.0,8687.3875,8170.0,5312.875,13935.2125,4603.0,8777.375,11439.3375,8190.3125,10903.75,3724.5,13518.2
KE,3171.1875,9790.125,11751.9625,6880.7375,8385.2,11765.4375,2412.175,11115.5625,9583.75,11667.0625,6337.0,5442.7875,3513.8875,5796.25,1162.0625,7151.75,16244.6125,6482.5625,6819.875,4213.3375,4091.0625,5408.9125,5405.2875,11271.75875,0.0,10112.1875,6135.0625,14331.1875,7372.55,3476.6375,6679.8125,7070.125,13149.6875,12909.375,9431.375,5196.1375,6085.625,6165.0,6429.75,3114.025,6956.7625,7391.9875,5787.5,7246.925,4709.8125,619.7,5625.125,12092.95,8198.2125,2915.375
KR,12425.875,19451.3125,8340.0,3736.75,18177.5,10464.175,12118.45,18365.625,952.3125,14855.0,8128.125,9952.932499999999,8338.875,9975.16,9171.0,7045.2125,7398.675,8965.125,8858.0,12399.6375,8472.375,4675.5,8966.0,1152.0,10112.1875,0.0,10427.975,12094.125,4610.875,11812.7875,8551.0625,7711.2875,9785.0,16288.75,2620.0,4320.875,7725.225,10396.4,6600.65,7475.1875,7415.0,4655.0,12861.1125,3720.0,7398.4375,10124.9375,7395.9375,11150.625,2703.6875,12410.4375
MA,5623.4075,9402.6875,17852.9125,9422.1375,6944.918750000001,5712.8375,4817.325,9851.5625,9591.6625,7610.075,2597.295,916.625,3465.05,713.84875,5507.85,3896.4375,17308.9375,1814.3125,2062.2,3176.725,2783.2125,7696.0875,1749.1875,11573.75,6135.0625,10427.975,0.0,9040.713749999999,11195.525,3136.925,2216.7375,3171.875,19868.175,8705.125,11746.875,7391.35,2874.6125,543.0,4163.275,5011.0625,3460.9125000000004,11527.75,2298.3625,10461.6,3384.6125,6398.328750000001,3610.125,6159.5875,10285.0625,7517.5875
MX,12250.462500000001,7379.0,12722.15,15772.575,6845.0625,3617.5,12376.4,6558.75,12436.25,3165.25,9724.775,9496.8875,12419.25,9064.0,14228.375,9492.903750000001,10168.5,9194.6875,8928.85625,10044.975,10788.875,15532.5125,10245.1875,11311.0,14331.1875,12094.125,9040.713749999999,0.0,16602.425,10528.6625,9221.25,9318.64625,11142.625,4241.875,14225.5625,14554.95,10175.0625,7477.875,10730.625,13895.6,9566.025,16586.9375,9039.0875,16314.675,11620.4375,14807.675,10823.3125,3032.3125,14343.2,14356.15
MY,9730.425,15890.5,6311.9375,2630.0,16273.2375,14796.55,9743.075,16219.375,4347.875,19678.175,9598.025,10516.85,7639.8625,11062.938750000001,6957.5625,8512.475,8435.525,10411.125,10594.05,10853.7,8436.54375,3875.3125,9618.625,5334.625,7372.55,4610.875,11195.525,16602.425,0.0,9837.55875,10215.1,9660.7375,8688.125,19775.15,2483.75,4479.575000000001,9308.95,11428.4375,8205.333750000002,6364.07125,9278.59625,315.0,13524.4125,1185.0,8114.75,7386.5175,8467.075,15170.5625,2044.0625,8491.85625
