id,place_a_id,place_b_id,true_distance_km,n,mean,median,trimmed_mean,robust,std,variance,min,max,q1,q3,iqr,mad,cv,outliers,missing_samples,mean_ci_low,mean_ci_high,absolute_error_km,signed_error_km,relative_error,log_ratio_error
AO--AR,AO,AR,7779.757280725595,10,7778.2699999999995,7780.25,7778.6125,7779.589133333363,3.9032892112507622,15.235666666666598,7770.8,7783.0,7776.174999999999,7780.5,4.325000000000728,1.0,0.0005018197119990386,0,0,7775.779750000001,7780.3,1.4872807255951557,-1.4872807255951557,-0.00019117315257121255,-0.0001911914284876345
AO--AU,AO,AU,13288.474497523322,10,11931.49,11908.0,11931.0125,11931.012500001196,304.33211920166735,92618.03877777787,11516.3,12350.5,11676.375,12200.125,523.75,262.75,0.025506631544062592,0,0,11767.633749999999,12123.29125,1356.9844975233227,-1356.9844975233227,-0.10211740239831402,-0.10771595686416803
AO--BD,AO,BD,9121.283483960526,10,9759.555,9848.825,9784.44375,9799.746639289197,195.45013636617279,38200.755805555535,9358.5,9961.5,9682.25,9864.0,181.75,107.12499999999909,0.020026541821442964,1,0,9627.190750000002,9863.385124999999,638.2715160394746,638.2715160394746,0.06997606391269977,0.06763627804855182
AO--BR,AO,BR,6675.278533941141,10,6336.719999999999,6262.5,6300.275,6282.053902867627,187.64205167167503,35209.539555555566,6185.0,6780.0,6204.625,6416.125,211.5,69.40000000000009,0.02961185781787345,1,0,6243.5019999999995,6455.16,338.55853394114183,-338.55853394114183,-0.05071826324844815,-0.052049646927345955
AO--CA,AO,CA,10620.756402433968,10,10868.439999999999,10913.85,10868.925,10900.985800000546,205.10694879609633,42068.860444444486,10557.5,11175.5,10738.25,10978.5,240.25,101.0,0.01887179289724159,0,0,10742.36675,10987.900249999999,247.68359756603058,247.68359756603058,0.023320711649997803,0.02305293896242275
AO--CD,AO,CD,549.1026827702303,10,547.4399999999999,550.75,550.3625,550.2915875164525,12.531932545834,157.04933333333344,515.0,556.5,545.175,555.425,10.25,5.25,0.022891883212468947,1,0,539.019,553.24125,1.66268277023039,-1.66268277023039,-0.003027999721003243,-0.003032593387582844
AO--CL,AO,CL,8913.64308220524,10,8198.85,8175.0,8181.3125,8182.285621428376,103.01080040461775,10611.224999999997,8088.0,8450.0,8145.0,8227.625,82.625,50.25,0.012564054764341066,1,0,8144.795,8269.215,714.7930822052404,-714.7930822052404,-0.08019090237438586,-0.08358913305154442
AO--CN,AO,CN,11758.580047473492,10,11540.25,11575.25,11550.3125,11549.355675003995,137.58113767680672,18928.569444444445,11310.0,11690.0,11450.125,11650.0,199.875,110.5,0.011921850711796253,0,0,11454.28,11618.00625,218.3300474734915,-218.3300474734915,-0.018567722173257053,-0.018742266294387234
AO--CO,AO,CO,9801.95415219586,10,9098.660999999998,9093.8,9090.07875,9074.63666670837,359.3674745206266,129144.98174333322,8593.5,9672.48,8878.805,9272.25,393.4449999999997,229.5,0.03949674292960543,0,0,8903.14465,9317.186525,703.2931521958617,-703.2931521958617,-0.07175030012135979,-0.07445450924453635
AO--DE,AO,DE,6798.792115651933,10,6547.33,6549.0,6546.6125,6545.316666666658,36.05905803909276,1300.2556666666603,6485.0,6615.4,6530.75,6556.325,25.574999999999818,18.0,0.005507444720075628,2,0,6525.4484999999995,6569.1315,251.46211565193335,-251.46211565193335,-0.0369862927670676,-0.037687633398570404
