place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7772.5,12048.125,9919.875,6451.25,10675.25,546.25,8176.25,11607.375,9293.75,6584.5,4816.875,5191.0,5773.125,3498.5,8012.0,15722.5,6502.25,6830.0,2400.0,5465.5,8580.125,5665.5,13583.125,3163.75,12439.375,5561.625,12037.5,9358.4375,2201.625,6824.625,7611.125,12593.125,9831.625,12330.125,7505.75,6683.75,5779.875,7271.375,5487.75,7562.0,10201.125,4524.0,10039.25,5955.625,2869.375,6727.5,10440.75,10840.0,2492.0
AR,7772.5,0.0,11814.875,17148.0,2340.75,8981.25,7860.0,850.875,19267.25,4685.0,11902.875,9822.125,11800.0,10031.875,10268.75,12626.25,11555.0,11083.875,11116.25,7441.75,10808.375,15912.5,11142.5,18375.0,9854.375,19445.0,9083.75,7377.5,15902.25,8026.25,11443.25,11711.0,10336.25,3138.75,19996.0,14987.25,12231.25,9578.125,13476.0,11976.0,12121.5,15871.375,6961.875,17137.0,11801.25,9370.0,12817.625,8367.625,18065.25,8118.125
AU,12048.125,11814.875,0.0,9052.75,13989.0,16253.125,12571.875,11342.5,8964.0,14306.875,16092.25,17307.5,14405.0,17632.5,11764.125,15189.125,3263.25,16960.0,16930.0,15809.375,15314.75,10093.75,16314.75,7974.5,12030.5,8341.875,17944.875,13899.75,6441.875,14640.25,16605.125,15921.375,2325.375,13055.0,6268.75,10628.125,15605.125,18066.5,14470.5,12691.25,15606.875,6077.5,17253.75,7362.25,14380.875,11216.875,14913.625,15984.75,7745.125,10281.625
BD,9919.875,17148.0,9052.75,0.0,15956.5,11835.5,8963.125,17129.75,3026.25,16540.5,7136.125,8391.75,5281.375,8253.625,6055.0,6618.25,11386.75,7907.625,7997.5,10050.75,5995.75,1423.75,7275.5,4841.625,6866.875,3726.0,9010.0,15422.875,2630.125,8618.75,7694.625,7335.875,11199.75,17468.125,3312.75,2008.875,6660.0,8624.25,5118.25,4446.625,6914.375,2895.375,11696.875,1540.0,5203.125,6832.75,6006.625,12655.375,1861.0,8427.875
BR,6451.25,2340.75,13989.0,15956.5,0.0,7009.375,6890.0,3018.5,16884.375,3660.0,9504.25,7670.125,9527.0,7268.0,9140.25,10401.25,14050.625,8726.125,8775.875,5596.25,9526.25,14134.375,8725.0,17411.625,8375.0,18130.125,7062.75,6844.375,16380.625,6163.75,9200.25,9537.375,11895.0,3170.875,18670.625,13985.625,9918.75,7290.125,11177.25,10668.125,10036.75,16685.75,4953.0,16740.0,10137.25,8486.0,10138.5,6736.75,16995.75,7524.125
CA,10675.25,8981.25,16253.125,11835.5,7009.375,0.0,10273.75,8596.875,10473.375,4532.25,6138.625,6112.75,8539.5,5686.375,11372.375,6038.0,12123.125,5648.0,5379.875,8120.75,7628.125,11152.125,6722.25,10314.625,11726.0,10466.0,5671.0,3626.125,14800.0,8586.625,5637.25,5458.0,14393.5,6182.5,13121.125,10758.625,6540.0,5281.375,7141.75,9902.125,5916.375,14840.125,6284.125,13641.0,7868.5,12114.375,7261.625,732.0,12588.125,12823.125
CD,546.25,7860.0,12571.875,8963.125,6890.0,10273.75,0.0,9335.0,11293.125,9615.0,6175.0,4819.625,4271.5,5750.125,3020.5,6980.375,16604.375,6030.25,6375.25,1935.25,4881.875,8117.5,5420.125,12841.625,2415.0,12120.625,4840.0,12472.5,9670.625,1707.0,6241.875,6914.375,14164.375,10082.625,11641.125,7162.25,6168.875,5742.375,6917.5,4717.25,6987.5,10254.5,4201.375,9656.25,5102.625,2031.625,6119.375,10150.75,10436.0,2777.5
CL,8176.25,850.875,11342.5,17129.75,3018.5,8596.875,9335.0,0.0,19064.875,4251.0,12499.875,10260.875,13235.875,10708.25,11742.375,13049.375,10390.0,11640.0,11641.875,8596.25,12302.5,16333.75,11883.5,17240.0,11601.0,18421.875,9912.75,6565.625,16382.5,8649.25,11915.125,12284.625,9352.875,2464.5,17280.625,16363.125,12442.25,9972.5,14112.0,14075.625,12272.25,16311.875,8107.375,17165.75,13145.0,10021.25,13037.375,8044.75,18168.625,8421.75
CN,11607.375,19267.25,8964.0,3026.25,16884.375,10473.375,11293.125,19064.875,0.0,15264.875,7356.0,9132.875,7552.375,9215.0,8314.125,6311.375,9281.875,8215.0,8140.125,11492.5,7613.375,3783.125,8130.0,2100.0,9582.5,953.125,10310.875,12436.625,4348.75,10552.5,7824.0,6935.375,10411.25,16625.25,2850.625,3815.0,7156.25,9606.125,5796.0,6188.5,6711.625,4480.0,11926.875,3291.0,6348.125,9187.5,6450.0,11157.75,2330.0,11716.25
CO,9293.75,4685.0,14306.875,16540.5,3660.0,4532.25,9615.0,4251.0,15264.875,0.0,9396.625,8435.5,11110.0,8020.625,11677.75,9741.75,13271.875,8630.0,8500.0,8047.0,10181.0,15947.5,9350.5,14304.0,11581.875,14876.875,7595.5,3193.75,19772.0,8327.5,8825.0,9025.125,12598.0,1880.125,17961.875,15187.875,9638.0,7491.5,10905.625,12533.75,9531.875,19744.0,6082.25,17246.5,10776.25,10948.125,10258.0,3520.75,17586.25,10466.25
DE,6584.5,11902.875,16092.25,7136.125,9504.25,6138.625,6175.0,12499.875,7356.0,9396.625,0.0,1908.75,2891.875,1869.875,5348.375,1101.75,16174.0,878.0,932.0,5215.75,1801.0,5784.5,1184.0,8917.25,6330.625,8128.375,2621.0,9724.125,9598.5,4835.25,577.0,839.0,18159.375,11136.875,9743.0,5217.625,517.25,2310.0,1608.375,4171.5,810.0,9910.0,5026.25,8601.625,2030.75,6748.5,1120.125,6715.375,8293.5,8688.75
DZ,4816.875,9822.125,17307.5,8391.75,7670.125,6112.75,4819.625,10260.875,9132.875,8435.5,1908.75,0.0,2715.25,713.25,4894.75,3121.5,17834.375,1350.25,1660.0,2806.625,1715.625,6866.125,990.625,10417.25,5413.125,9987.125,917.625,9413.5,10482.875,2713.75,1731.875,2889.75,19509.375,9868.125,11432.875,6272.75,2259.75,1072.625,3480.0,4170.25,2990.875,10423.0,3168.75,9669.25,2713.5,5330.25,2820.375,6463.25,9647.375,7442.5
EG,5191.0,11800.0,14405.0,5281.375,9527.0,8539.5,4271.5,13235.875,7552.375,11110.0,2891.875,2715.25,0.0,3350.0,2476.5,3398.875,16479.375,3210.0,3510.0,4268.75,1110.0,4400.0,2130.0,9560.625,3515.0,8463.5,3434.0,12458.0,7911.875,3426.25,3287.25,3668.125,16165.875,12426.625,9099.125,3504.0,2626.625,3796.875,2900.0,1450.5,3428.75,8270.375,5181.125,7259.375,1100.25,3607.75,2273.125,9405.75,7695.625,6262.5
ES,5773.125,10031.875,17632.5,8253.625,7268.0,5686.375,5750.125,10708.25,9215.0,8020.625,1869.875,713.25,3350.0,0.0,5442.625,2947.75,17272.5,1053.0,1263.0,3892.75,2334.625,7272.625,1362.25,10765.0,5798.125,9983.375,562.625,9064.25,11062.75,3678.875,1480.75,2572.25,19855.0,9506.375,11640.125,6443.625,2290.0,503.0,3440.0,4818.0,2590.125,11384.375,3150.375,10188.375,3056.125,6259.375,2864.875,6108.875,10084.875,8020.375
ET,3498.5,10268.75,11764.125,6055.0,9140.25,11372.375,3020.5,11742.375,8314.125,11677.75,5348.375,4894.75,2476.5,5442.625,0.0,5946.0,15876.875,5587.5,5895.875,4224.75,3377.0,5058.0,4480.375,9764.0,1160.875,9327.875,5435.0,14024.375,7196.25,3463.75,5518.125,6104.5,14094.5,12940.0,9017.0,4246.375,5299.875,5560.0,5141.25,1931.5,5799.125,7379.375,6180.0,7018.5,3333.75,1497.625,4852.5,11559.75,7575.5,4378.75
FI,8012.0,12626.25,15189.125,6618.25,10401.25,6038.0,6980.375,13049.375,6311.375,9741.75,1101.75,3121.5,3398.875,2947.75,5946.0,0.0,15218.5,1910.0,1820.375,6384.0,2463.875,5227.375,2200.625,7821.5,7311.25,7047.5,3803.25,9528.625,8401.25,6056.875,1502.0,785.0,16773.125,11731.0,8293.25,4761.875,943.75,3364.0,894.25,4235.125,396.0,9261.75,6020.375,7897.125,2466.375,7402.375,1143.625,6939.375,7287.5,9622.75
FJ,15722.5,11555.0,3263.25,11386.75,14050.625,12123.125,16604.375,10390.0,9281.875,13271.875,16174.0,17834.375,16479.375,17272.5,15876.875,15218.5,0.0,16538.75,16287.5,18975.625,16459.125,11712.75,16810.0,7284.375,16405.625,8042.5,17504.375,9472.125,8456.25,18838.75,16256.875,15610.125,2619.25,10950.0,7174.25,12856.25,15712.5,18290.0,14678.625,14655.75,15539.375,8272.375,18976.25,8825.625,16083.5,15718.625,15507.75,12195.0,8168.25,14206.875
FR,6502.25,11083.875,16960.0,7907.625,8726.125,5648.0,6030.25,11640.0,8215.0,8630.0,878.0,1350.25,3210.0,1053.0,5587.5,1910.0,16538.75,0.0,343.125,4823.25,2097.625,6578.75,1106.625,9714.625,6480.25,8965.0,1814.25,9199.375,10409.5,4471.25,430.375,1342.5,18974.875,10260.375,10740.0,5907.875,1367.0,1453.0,2485.0,4675.75,1544.0,10740.0,4200.0,9443.0,2597.75,6706.125,2023.875,6164.875,9190.0,8690.0
GB,6830.0,11116.25,16930.0,7997.5,8775.875,5379.875,6375.25,11641.875,8140.125,8500.0,932.0,1660.0,3510.0,1263.0,5895.875,1820.375,16287.5,343.125,0.0,5099.75,2391.0,6710.0,1434.25,9559.875,6821.25,8857.625,2078.375,8928.625,10580.625,4900.75,357.5,1153.0,18816.0,10175.125,10741.0,6050.0,1450.0,1584.875,2500.25,4938.5,1432.0,10849.875,4380.0,9536.75,2827.5,7446.0,2134.0,5900.0,9231.5,9041.125
GH,2400.0,7441.75,15809.375,10050.75,5596.25,8120.75,1935.25,8596.25,11492.5,8047.0,5215.75,2806.625,4268.75,3892.75,4224.75,6384.0,18975.625,4823.25,5099.75,0.0,4138.375,8274.125,4161.5,13567.25,4259.625,12393.75,3173.375,9724.875,10991.25,915.125,5220.25,6141.375,15662.5,8306.875,13316.25,7136.625,5333.125,3809.125,6204.375,5420.0,6129.625,11331.25,2101.875,10979.75,4889.125,4396.25,5528.5,8252.625,11106.25,4687.875
GR,5465.5,10808.375,15314.75,5995.75,9526.25,7628.125,4881.875,12302.5,7613.375,10181.0,1801.0,1715.625,1110.0,2334.625,3377.0,2463.875,16459.125,2097.625,2391.0,4138.375,0.0,4883.0,1051.0,9499.75,4339.375,8490.625,2847.0,10775.625,8345.125,3439.5,2162.375,2613.125,17660.625,11223.375,9584.125,4297.25,1598.0,2858.125,2228.375,2390.875,2626.125,9051.75,4707.5,7921.875,815.75,4524.375,1485.5,7662.0,7734.25,7050.75
IN,8580.125,15912.5,10093.75,1423.75,14134.375,11152.125,8117.5,16333.75,3783.125,15947.5,5784.5,6866.125,4400.0,7272.625,5058.0,5227.375,11712.75,6578.75,6710.0,8274.125,4883.0,0.0,5920.0,5832.375,5410.75,4680.625,7716.875,14456.0,3870.625,7435.0,6365.625,5967.0,12025.625,16922.375,4764.0,678.125,5268.625,7600.0,4340.0,3033.625,5747.5,4150.0,9540.0,2916.625,4313.125,5583.75,4570.375,12029.25,3002.625,8035.0
IT,5665.5,11142.5,16314.75,7275.5,8725.0,6722.25,5420.125,11883.5,8130.0,9350.5,1184.0,990.625,2130.0,1362.25,4480.375,2200.625,16810.0,1106.625,1434.25,4161.5,1051.0,5920.0,0.0,9855.375,5395.5,8966.0,1727.125,10246.875,9611.875,3736.0,1297.0,2002.625,18483.75,10871.25,10401.25,5288.625,1316.0,1862.25,2375.0,3669.25,1975.5,9525.125,4174.25,8816.75,1787.25,5412.125,1672.0,7215.5,8727.125,7690.75
JP,13583.125,18375.0,7974.5,4841.625,17411.625,10314.625,12841.625,17240.0,2100.0,14304.0,8917.25,10417.25,9560.625,10765.0,9764.0,7821.5,7284.375,9714.625,9559.875,13567.25,9499.75,5832.375,9855.375,0.0,11263.125,1156.375,11470.625,11303.25,5339.0,13532.5,9292.375,8383.75,9255.625,15485.625,2995.25,5830.0,8607.5,11146.625,7480.0,8681.5,8170.0,5311.25,13986.875,4603.0,8754.0,11388.75,8195.125,10903.75,3724.375,13532.625
KE,3163.75,9854.375,12030.5,6866.875,8375.0,11726.0,2415.0,11601.0,9582.5,11581.875,6330.625,5413.125,3515.0,5798.125,1160.875,7311.25,16405.625,6480.25,6821.25,4259.625,4339.375,5410.75,5395.5,11263.125,0.0,10105.625,5778.75,14329.875,7343.5,3485.0,6674.0,7120.625,13729.75,12907.25,9197.75,5173.75,6195.625,6217.0,6372.5,3069.375,6975.625,7404.75,5794.0,7242.375,4546.25,669.5,5743.25,12131.875,8214.375,2915.0
KR,12439.375,19445.0,8341.875,3726.0,18130.125,10466.0,12120.625,18421.875,953.125,14876.875,8128.375,9987.125,8463.5,9983.375,9327.875,7047.5,8042.5,8965.0,8857.625,12393.75,8490.625,4680.625,8966.0,1156.375,10105.625,0.0,10663.75,12095.75,4611.375,11787.875,8555.125,7706.0,9721.375,16292.5,2620.0,4308.25,7725.0,10419.375,6601.0,7484.125,7416.25,4650.0,13035.625,3720.0,7394.25,10311.25,7233.375,11152.125,2718.25,12425.625
MA,5561.625,9083.75,17944.875,9010.0,7062.75,5671.0,4840.0,9912.75,10310.875,7595.5,2621.0,917.625,3434.0,562.625,5435.0,3803.25,17504.375,1814.25,2078.375,3173.375,2847.0,7716.875,1727.125,11470.625,5778.75,10663.75,0.0,9037.625,11290.125,3131.375,2279.0,3140.625,19589.0,8975.0,11816.5,7308.75,2953.5,543.0,4204.5,5091.5,3477.5,11475.25,2297.25,10263.125,3433.125,6065.75,3668.5,6139.75,10252.25,7633.75
MX,12037.5,7377.5,13899.75,15422.875,6844.375,3626.125,12472.5,6565.625,12436.625,3193.75,9724.125,9413.5,12458.0,9064.25,14024.375,9528.625,9472.125,9199.375,8928.625,9724.875,10775.625,14456.0,10246.875,11303.25,14329.875,12095.75,9037.625,0.0,16597.5,10132.75,9215.625,9454.0,11155.625,4244.75,14223.375,14504.375,10177.875,7981.625,10728.125,13876.75,9569.25,16588.625,9037.125,16303.625,11536.125,14531.625,10812.375,3030.5,14564.625,14342.25
MY,9358.4375,15902.25,6441.875,2630.125,16380.625,14800.0,9670.625,16382.5,4348.75,19772.0,9598.5,10482.875,7911.875,11062.75,7196.25,8401.25,8456.25,10409.5,10580.625,10991.25,8345.125,3870.625,9611.875,5339.0,7343.5,4611.375,11290.125,16597.5,0.0,9987.0,10213.375,9486.25,8635.0,19793.75,2479.375,4434.375,9417.125,11159.375,8146.5,6355.0,9281.75,315.0,13092.5,1185.0,8039.0,7570.25,8406.0,15442.25,2044.75,8520.0
NG,2201.625,8026.25,14640.25,8618.75,6163.75,8586.625,1707.0,8649.25,10552.5,8327.5,4835.25,2713.75,3426.25,3678.875,3463.75,6056.875,18838.75,4471.25,4900.75,915.125,3439.5,7435.0,3736.0,13532.5,3485.0,11787.875,3131.375,10132.75,9987.0,0.0,4818.875,5429.75,15460.625,8825.375,11903.75,6757.5,4932.5,3809.875,5409.75,4475.625,5472.5,10227.25,2632.5,9828.75,4156.25,3489.125,4931.125,8564.25,10253.75,4521.125
NL,6824.625,11443.25,16605.125,7694.625,9200.25,5637.25,6241.875,11915.125,7824.0,8825.0,577.0,1731.875,3287.25,1480.75,5518.125,1502.0,16256.875,430.375,357.5,5220.25,2162.375,6365.625,1297.0,9292.375,6674.0,8555.125,2279.0,9215.625,10213.375,4818.875,0.0,914.25,18580.875,10515.0,10410.125,5612.375,1095.0,1863.75,2155.75,4732.625,1125.0,10512.0,4650.0,9180.0,2590.25,6989.375,1780.375,6187.125,8291.625,9327.5
NO,7611.125,11711.0,15921.375,7335.875,9537.375,5458.0,6914.375,12284.625,6935.375,9025.125,839.0,2889.75,3668.125,2572.25,6104.5,785.0,15610.125,1342.5,1153.0,6141.375,2613.125,5967.0,2002.625,8383.75,7120.625,7706.0,3140.625,9454.0,9486.25,5429.75,914.25,0.0,17518.625,10871.75,9191.125,5276.0,962.125,2763.0,1643.5,4636.25,416.0,9668.875,5129.625,8649.625,2905.25,7490.625,1633.25,6057.375,8300.875,9626.875
NZ,12593.125,10336.25,2325.375,11199.75,11895.0,14393.5,14164.375,9352.875,10411.25,12598.0,18159.375,19509.375,16165.875,19855.0,14094.5,16773.125,2619.25,18974.875,18816.0,15662.5,17660.625,12025.625,18483.75,9255.625,13729.75,9721.375,19589.0,11155.625,8635.0,15460.625,18580.875,17518.625,0.0,10754.625,8450.625,13273.75,17729.125,19060.375,16548.75,14769.875,17427.625,8427.0,16485.0,9639.625,16763.75,13150.125,17309.625,14262.0,9583.625,11632.5
PE,9831.625,3138.75,13055.0,17468.125,3170.875,6182.5,10082.625,2464.5,16625.25,1880.125,11136.875,9868.125,12426.625,9506.375,12940.0,11731.0,10950.0,10260.375,10175.125,8306.875,11223.375,16922.375,10871.25,15485.625,12907.25,16292.5,8975.0,4244.75,19793.75,8825.375,10515.0,10871.75,10754.625,0.0,18128.75,16260.125,11478.0,9542.0,12640.625,14190.875,11372.5,19363.0,6506.875,19745.25,12095.875,11451.25,11597.25,5628.875,18910.25,9966.25
PH,12330.125,19996.0,6268.75,3312.75,18670.625,13121.125,11641.125,17280.625,2850.625,17961.875,9743.0,11432.875,9099.125,11640.125,9017.0,8293.25,7174.25,10740.0,10741.0,13316.25,9584.125,4764.0,10401.25,2995.25,9197.75,2620.0,11816.5,14223.375,2479.375,11903.75,10410.125,9191.125,8450.625,18128.75,0.0,4769.625,9407.5,11360.5,8236.25,7782.5,9299.375,2395.0,14454.375,2208.0,8363.375,9441.25,8475.25,13735.0,1750.0,10913.125
PK,7505.75,14987.25,10628.125,2008.875,13985.625,10758.625,7162.25,16363.125,3815.0,15187.875,5217.625,6272.75,3504.0,6443.625,4246.375,4761.875,12856.25,5907.875,6050.0,7136.625,4297.25,678.125,5288.625,5830.0,5173.75,4308.25,7308.75,14504.375,4434.375,6757.5,5612.375,5276.0,13273.75,16260.125,4769.625,0.0,4709.0,6940.5,3807.125,2732.125,5127.625,4730.625,8656.25,3027.5,3185.0,5324.375,3918.0,11175.0,3269.125,7922.0
PL,6683.75,12231.25,15605.125,6660.0,9918.75,6540.0,6168.875,12442.25,7156.25,9638.0,517.25,2259.75,2626.625,2290.0,5299.875,943.75,15712.5,1367.0,1450.0,5333.125,1598.0,5268.625,1316.0,8607.5,6195.625,7725.0,2953.5,10177.875,9417.125,4932.5,1095.0,962.125,17729.125,11478.0,9407.5,4709.0,0.0,2760.0,1151.0,3721.875,810.0,9413.875,5255.625,8113.5,1521.125,6616.75,689.25,7215.375,7832.5,8655.5
