id,place_a_id,place_b_id,true_distance_km,n,mean,median,trimmed_mean,robust,std,variance,min,max,q1,q3,iqr,mad,cv,outliers,missing_samples,mean_ci_low,mean_ci_high,absolute_error_km,signed_error_km,relative_error,log_ratio_error
AO--AR,AO,AR,7779.757280725595,10,7774.1,7777.5,7772.5,7773.411500000042,19.069754994638906,363.6555555555555,7745.0,7816.0,7765.0,7780.0,15.0,7.5,0.00245298555390835,1,0,7764.0,7785.7,5.657280725594319,-5.657280725594319,-0.0007271795920433499,-0.000727444115368006
AO--AU,AO,AU,13288.474497523322,10,12044.4,12051.5,12048.125,12048.124999999369,187.3708147557197,35107.822222222225,11765.0,12294.0,11910.0,12205.25,295.25,153.5,0.015556674865972543,0,0,11940.6875,12152.09,1244.0744975233229,-1244.0744975233229,-0.09362056553257417,-0.09829725877174504
AO--BD,AO,BD,9121.283483960526,10,9902.1,9923.5,9919.875,9926.383950004945,166.5355817835936,27734.1,9578.0,10084.0,9851.0,10035.0,184.0,117.0,0.016818208438976946,0,0,9802.1,9992.545,780.8165160394747,780.8165160394747,0.08560379878692671,0.08213632878343782
AO--BR,AO,BR,6675.278533941141,10,6462.5,6440.0,6451.25,6458.3310000002475,272.215702869781,74101.3888888889,6170.0,6845.0,6213.75,6715.0,501.25,240.0,0.04212235247501447,0,0,6310.9875,6622.525,212.77853394114118,-212.77853394114118,-0.031875603820761454,-0.03239469151243694
AO--CA,AO,CA,10620.756402433968,10,10677.2,10698.5,10675.25,10674.283928572988,289.06662054120176,83559.51111111113,10175.0,11195.0,10481.25,10808.75,327.5,187.5,0.02707326083066738,0,0,10515.93,10832.0,56.44359756603262,56.44359756603262,0.005314461176521984,0.005300389262134347
AO--CD,AO,CD,549.1026827702303,10,546.3,544.5,546.25,546.3000000002793,6.733828364641057,45.34444444444445,538.0,555.0,541.5,553.0,11.5,6.0,0.012326246320045867,0,0,542.595,550.4,2.8026827702303763,-2.8026827702303763,-0.005104114145082673,-0.005117184630153223
AO--CL,AO,CL,8913.64308220524,10,8180.0,8179.0,8176.25,8171.015757146964,87.88123298583783,7723.11111111111,8065.0,8325.0,8112.75,8217.5,104.75,65.5,0.010743427015383597,0,0,8133.097500000001,8236.61,733.6430822052407,-733.6430822052407,-0.08230563815931219,-0.08589088296956149
AO--CN,AO,CN,11758.580047473492,10,11611.9,11617.0,11607.375,11607.57274285813,82.94234945631413,6879.433333333333,11495.0,11765.0,11550.0,11667.5,117.5,58.0,0.00714287493487837,0,0,11564.9875,11661.705,146.68004747349187,-146.68004747349187,-0.012474299352582822,-0.012552756573461821
AO--CO,AO,CO,9801.95415219586,10,9278.3,9195.0,9293.75,9255.104499956951,363.559577877776,132175.56666666668,8650.0,9783.0,9082.5,9605.0,522.5,197.5,0.03918385672782471,0,0,9058.9125,9496.5425,523.6541521958607,-523.6541521958607,-0.053423444352527424,-0.0549034287219631
AO--DE,AO,DE,6798.792115651933,10,6607.1,6552.0,6584.5,6559.883499994887,133.16276590031546,17732.322222222218,6500.0,6895.0,6530.5,6596.25,65.75,32.5,0.020154495300557802,2,0,6538.1849999999995,6685.905,191.6921156519329,-191.6921156519329,-0.028195025291422905,-0.028600137957191622
AO--DZ,AO,DZ,5158.666122203358,10,4816.0,4815.0,4816.875,4815.804333333524,10.749676997731399,115.55555555555554,4795.0,4830.0,4810.0,4823.75,13.75,5.0,0.00223207578856549,0,0,4810.0,4822.0,342.6661222033581,-342.6661222033581,-0.06642533439574479,-0.06873433462021412
AO--EG,AO,EG,4715.419795274749,10,5171.3,5290.0,5191.0,5285.893499995657,198.91709607550357,39568.01111111112,4875.0,5310.0,4987.5,5294.5,307.0,12.5,0.03846558816458213,0,0,5047.5,5293.0075,455.88020472525113,455.88020472525113,0.0966786043486694,0.09228616147424361
AO--ES,AO,ES,5722.316302190526,10,5770.4,5775.0,5773.125,5774.666666666667,13.72103008766713,188.26666666666662,5734.0,5785.0,5771.25,5775.0,3.75,0.0,0.002377829974987372,3,0,5761.2,5777.0,48.08369780947396,48.08369780947396,0.008402838163816168,0.008367730849499704
AO--ET,AO,ET,3446.282530254973,10,3498.8,3498.5,3498.5,3498.779875000066,8.148619514985345,66.4,3490.0,3510.0,3490.75,3504.5,13.75,7.5,0.0023289755101707286,0,0,3494.0,3503.8025000000002,52.51746974502703,52.51746974502703,0.015238875305194877,0.015123929932701027
AO--FI,AO,FI,7720.979613051022,10,7996.2,8032.5,8012.0,8035.333333343554,216.77730508519565,46992.399999999994,7615.0,8251.0,7936.5,8128.75,192.25,106.5,0.027110040404841756,1,0,7858.995,8115.6125,275.22038694897765,275.22038694897765,0.03564578599375702,0.035025179962878523
